x, y, z
61.556827       ,-54.071205     ,1413.998291
130.826852      ,-54.071205     ,1414.477002
-7.499233       ,-54.091512     ,1410.881396
-76.198750      ,-54.132344     ,1405.104346
-144.409222     ,-54.183238     ,1396.678418
-211.977887     ,-54.244350     ,1385.583105
-278.772125     ,-54.325877     ,1371.839063
-344.659717     ,-54.407401     ,1355.436328
-409.487659     ,-54.499127     ,1336.364355
-473.133765     ,-54.590739     ,1314.621680
-535.445251     ,-54.692661     ,1290.211377
-596.279407     ,-54.794495     ,1263.120557
-655.513916     ,-54.896425     ,1233.370020
-712.996143     ,-54.988142     ,1200.931787
-768.583374     ,-55.079773     ,1165.811646
-822.153369     ,-55.171495     ,1128.014648
-873.543091     ,-55.242805     ,1087.526294
-922.640259     ,-55.314130     ,1044.358081
-969.282056     ,-55.365028     ,998.490820
-1013.346387    ,-55.405843     ,949.932642
-1054.680176    ,-55.436339     ,898.686621
-1093.161401    ,-55.446552     ,844.738770
-1128.626660    ,-55.426259     ,788.082568
-1160.954150    ,-55.395657     ,728.724683
-1190.000830    ,-55.334514     ,666.667896
-1215.634717    ,-55.253004     ,601.901440
-1237.692041    ,-55.140981     ,534.425244
-1256.061621    ,-54.998332     ,464.226965
-1270.589941    ,-54.825110     ,391.320593
-1281.134766    ,-54.611151     ,315.692065
-1287.573926    ,-54.376790     ,237.335248
-1289.743799    ,-54.091512     ,156.267188
-1319.422559    ,-54.091512     ,-267.840399
-6012.597656    ,338.156873     ,671.048877
-5947.093359    ,336.915747     ,1177.746240
-5892.343359    ,336.244849     ,1476.429053
-5849.911523    ,335.823669     ,1675.918652
-5767.325977    ,335.222607     ,1987.750781
-5671.473633    ,334.702954     ,2288.090625
-5562.908203    ,334.254639     ,2576.979785
-5442.187500    ,333.887952     ,2854.446387
-5309.852930    ,333.582275     ,3120.554004
-5166.472852    ,333.347937     ,3375.342480
-5012.588086    ,333.184863     ,3618.841406
-4848.750879    ,333.072949     ,3851.103516
-4675.510254    ,333.022046     ,4072.158398
-4493.424902    ,333.022046     ,4282.067871
-4303.037109    ,333.062659     ,4480.860645
-4104.915820    ,333.154431     ,4668.580664
